setting,target_tokens,needle_frac,n_examples,prompt_tokens_mean,prompt_tokens_min,prompt_tokens_max,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,recovery_gap,answer_address_ablation,non_address_core_ablation,query_tail_ablation,answer_address_patch,non_address_core_patch,l22h7_patch,l22h7_patch_ci_low,l22h7_patch_ci_high,l22h7_positive_examples,l22h7_gold_attention,l22h7_needle_attention,l22h7_activation_relative_diff
8k / 0.1,8192,0.1,40,8192.05,8191.0,8193.0,-2.012241624792417,-5.10586649576823,-2.043222605188688,3.0936248709758125,-0.16251763006051384,-1.2688809752464294,-1.0145651976267496,0.5074848175048828,0.03488972981770837,0.4570555369059245,0.4025423692020874,0.5115687046097616,38,0.6647656723856926,0.8483294531702995,1.12280844199726
8k / 0.5,8192,0.5,40,8191.85,8191.0,8193.0,-1.9533356110254922,-4.9325002034505205,-1.9889250248670578,2.9791645924250285,-0.12617097894350687,-1.3643178795774777,-0.9881133526563645,0.37289886474609374,0.03555781046549469,0.33529752095540355,0.28380638904504735,0.38678865286575975,39,0.520812539756298,0.8053062647581101,1.0113392912498873
8k / 0.9,8192,0.9,40,8191.95,8191.0,8193.0,-2.0297800689935683,-5.121653747558594,-2.058081982533137,3.091873678565025,-0.09398101468880968,-1.1980452289183934,-0.9560619423786798,0.4898701985677084,0.03612162272135413,0.4618550618489584,0.41426054940046064,0.5094495742974562,38,0.6896971434354782,0.8934789806604385,1.1097604523493005
16k / 0.1,16384,0.1,40,16383.975,16383.0,16385.0,-2.0753965437412263,-5.088731384277343,-2.1096368889013926,3.0133348405361176,-0.1900510589281718,-1.3490260283152264,-1.0429033935070038,0.4609507242838543,0.024019368489583304,0.4077463785807292,0.3365930973194945,0.4788996598419639,38,0.593647263199091,0.8653413504362106,1.0417500452690265
16k / 0.5,16384,0.5,40,16384.025,16383.0,16385.0,-2.0277640471855802,-5.103768920898437,-2.056818348169327,3.0760048737128574,-0.18618793189525604,-1.27369367480278,-0.9462075372536978,0.5380215962727866,0.04138285319010415,0.4998087565104167,0.43141544116134733,0.568202071859486,38,0.6658887684345245,0.91895642131567,1.1030684302825378
16k / 0.9,16384,0.9,40,16383.875,16383.0,16385.0,-2.1411006410916644,-5.272799682617188,-2.160416141152382,3.1316990415255224,-0.11970757047335304,-1.3289378682772317,-0.9571359813213348,0.5351971944173177,0.04335937500000007,0.5007280985514324,0.43785214050640237,0.5636040565964624,38,0.6729246720671653,0.9307624325156212,1.089606986270933
