setting,length,needle_frac,n,tau,retrieval_rate,copied_first_rate,avg_distance_tokens,avg_prompt_len_tokens
L8192_p0.10,8192,0.1,40,0.15,1.0,1.0,7251.275,8135.25
L8192_p0.90,8192,0.9,40,0.15,1.0,1.0,820.475,8144.9
