draw,mean_delta
0,4.276499899228415
1,4.304624700546265
2,4.315809390942254
3,4.316805152098338
4,4.316748960812886
5,4.316411693890889
6,4.317640988032023
7,4.31718277136485
8,4.317180081208548
9,4.316939032077789
10,4.318496119976045
11,4.3184900065263125
12,4.318810872236887
13,4.318783565362295
14,4.319213789701461
15,4.318814263741175
16,4.318335286776226
17,4.318729688723882
18,4.318647269407908
19,4.318467460076013
