setting,topK,baseline_mean_logprob,topK_mean_logprob,delta_topK,randK_mean_logprob,randK_std_logprob,delta_randK_mean,delta_randK_std,top_pairs,rand_seeds
L8192_p0.10,10,-1.0839855613807836,-1.3483681728442511,-0.26438261146346753,-1.2374859989931184,0.2093037871699769,-0.15350043761233478,0.2093037871699769,"[(19, 1), (20, 2), (20, 5), (21, 11), (22, 7), (20, 11), (21, 9), (18, 1), (23, 8), (20, 10)]","[4242, 4243, 4244, 4245, 4246, 4247, 4248, 4249, 4250, 4251, 4252, 4253, 4254, 4255, 4256, 4257, 4258, 4259, 4260, 4261]"
L8192_p0.90,10,-1.3815635544558365,-1.5884454215566317,-0.20688186710079526,-1.5441451007003586,0.21989520306560684,-0.16258154624452215,0.21989520306560684,"[(19, 1), (20, 2), (20, 5), (21, 11), (22, 7), (20, 11), (21, 9), (18, 1), (23, 8), (20, 10)]","[4242, 4243, 4244, 4245, 4246, 4247, 4248, 4249, 4250, 4251, 4252, 4253, 4254, 4255, 4256, 4257, 4258, 4259, 4260, 4261]"
