setting,baseline_rr,topK,ablated_topK_rr,drop_topK_rr,randK_mean_rr,randK_std_rr,randK_mean_drop,randK_std_drop,top_pairs,rand_seeds
L8192_p0.10,1.0,10,0.9375,0.0625,1.0,0.0,0.0,0.0,"[(19, 1), (20, 2), (20, 5), (21, 11), (22, 7), (20, 11), (21, 9), (18, 1), (23, 8), (20, 10)]","[4242, 4243, 4244, 4245, 4246, 4247, 4248, 4249, 4250, 4251, 4252, 4253, 4254, 4255, 4256, 4257, 4258, 4259, 4260, 4261]"
L8192_p0.90,1.0,10,1.0,0.0,1.0,0.0,0.0,0.0,"[(19, 1), (20, 2), (20, 5), (21, 11), (22, 7), (20, 11), (21, 9), (18, 1), (23, 8), (20, 10)]","[4242, 4243, 4244, 4245, 4246, 4247, 4248, 4249, 4250, 4251, 4252, 4253, 4254, 4255, 4256, 4257, 4258, 4259, 4260, 4261]"
