group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,16384,16384,0.5,915965,3,-2.1048431396484375,-2.2717912991841636,-0.16694815953572606
non_address_core,literal,1234,16384,16384,0.5,915965,16,-2.1048431396484375,-3.2923100789388022,-1.1874669392903647
strong13,literal,1234,16384,16384,0.5,915965,13,-2.1048431396484375,-3.417405446370443,-1.3125623067220054
core19,literal,1234,16384,16384,0.5,915965,19,-2.1048431396484375,-3.375680446624756,-1.2708373069763184
first_token_sink,literal,1234,16384,16384,0.5,915965,6,-2.1048431396484375,-2.5735551516215005,-0.468712011973063
query_tail,literal,1234,16384,16384,0.5,915965,9,-2.1048431396484375,-3.084022839864095,-0.9791797002156577
answer_address_inactive_control,literal,1234,16384,16384,0.5,915965,3,-2.1048431396484375,-2.052793343861898,0.052049795786539566
query_tail_inactive_control,literal,1234,16384,16384,0.5,915965,9,-2.1048431396484375,-2.0319034258524575,0.07293971379597997
answer_address,literal,1235,16384,16384,0.5,822782,3,-2.1779836813608804,-2.375991106033325,-0.1980074246724448
non_address_core,literal,1235,16384,16384,0.5,822782,16,-2.1779836813608804,-3.604766845703125,-1.4267831643422446
strong13,literal,1235,16384,16384,0.5,822782,13,-2.1779836813608804,-3.605013449986776,-1.4270297686258955
core19,literal,1235,16384,16384,0.5,822782,19,-2.1779836813608804,-3.7297843297322593,-1.5518006483713789
first_token_sink,literal,1235,16384,16384,0.5,822782,6,-2.1779836813608804,-2.688299576441447,-0.5103158950805664
query_tail,literal,1235,16384,16384,0.5,822782,9,-2.1779836813608804,-3.2298672993977866,-1.0518836180369062
answer_address_inactive_control,literal,1235,16384,16384,0.5,822782,3,-2.1779836813608804,-2.1362672646840415,0.0417164166768389
query_tail_inactive_control,literal,1235,16384,16384,0.5,822782,9,-2.1779836813608804,-2.0217088063557944,0.15627487500508597
answer_address,literal,1236,16384,16384,0.5,659279,3,-2.125443935394287,-2.313230514526367,-0.18778657913208008
non_address_core,literal,1236,16384,16384,0.5,659279,16,-2.125443935394287,-3.604679266611735,-1.4792353312174478
strong13,literal,1236,16384,16384,0.5,659279,13,-2.125443935394287,-3.4798151652018228,-1.3543712298075357
core19,literal,1236,16384,16384,0.5,659279,19,-2.125443935394287,-3.646409511566162,-1.520965576171875
first_token_sink,literal,1236,16384,16384,0.5,659279,6,-2.125443935394287,-2.6151016553243003,-0.48965771993001317
query_tail,literal,1236,16384,16384,0.5,659279,9,-2.125443935394287,-3.187988599141439,-1.0625446637471518
answer_address_inactive_control,literal,1236,16384,16384,0.5,659279,3,-2.125443935394287,-2.08379332224528,0.04165061314900731
query_tail_inactive_control,literal,1236,16384,16384,0.5,659279,9,-2.125443935394287,-2.1046133041381836,0.020830631256103516
answer_address,literal,1237,16384,16384,0.5,255903,3,-2.219154198964437,-2.2818217277526855,-0.06266752878824855
non_address_core,literal,1237,16384,16384,0.5,255903,16,-2.219154198964437,-3.687959591547648,-1.468805392583211
strong13,literal,1237,16384,16384,0.5,255903,13,-2.219154198964437,-3.583919366200765,-1.3647651672363281
core19,literal,1237,16384,16384,0.5,255903,19,-2.219154198964437,-3.667186737060547,-1.4480325380961099
first_token_sink,literal,1237,16384,16384,0.5,255903,6,-2.219154198964437,-2.708775758743286,-0.48962155977884914
query_tail,literal,1237,16384,16384,0.5,255903,9,-2.219154198964437,-3.187919775644938,-0.968765576680501
answer_address_inactive_control,literal,1237,16384,16384,0.5,255903,3,-2.219154198964437,-2.1670613288879395,0.052092870076497544
query_tail_inactive_control,literal,1237,16384,16384,0.5,255903,9,-2.219154198964437,-2.1357901891072593,0.08336400985717773
answer_address,literal,1238,16384,16384,0.5,127404,3,-2.1674958864847818,-2.167872746785482,-0.00037686030070016585
non_address_core,literal,1238,16384,16384,0.5,127404,16,-2.1674958864847818,-3.292517820994059,-1.1250219345092773
strong13,literal,1238,16384,16384,0.5,127404,13,-2.1674958864847818,-3.251034736633301,-1.083538850148519
core19,literal,1238,16384,16384,0.5,127404,19,-2.1674958864847818,-3.313526153564453,-1.1460302670796714
first_token_sink,literal,1238,16384,16384,0.5,127404,6,-2.1674958864847818,-2.5529680252075195,-0.3854721387227378
query_tail,literal,1238,16384,16384,0.5,127404,9,-2.1674958864847818,-2.9383063316345215,-0.7708104451497397
answer_address_inactive_control,literal,1238,16384,16384,0.5,127404,3,-2.1674958864847818,-2.167522112528483,-2.6226043701171875e-05
query_tail_inactive_control,literal,1238,16384,16384,0.5,127404,9,-2.1674958864847818,-2.1152947743733725,0.05220111211140921
answer_address,literal,1239,16384,16383,0.5,178315,3,-2.0843334197998047,-2.13703982035319,-0.05270640055338527
non_address_core,literal,1239,16384,16383,0.5,178315,16,-2.0843334197998047,-3.3759878476460776,-1.291654427846273
strong13,literal,1239,16384,16383,0.5,178315,13,-2.0843334197998047,-3.2928773562113443,-1.2085439364115396
core19,literal,1239,16384,16383,0.5,178315,19,-2.0843334197998047,-3.376183032989502,-1.2918496131896973
first_token_sink,literal,1239,16384,16383,0.5,178315,6,-2.0843334197998047,-2.448866367340088,-0.3645329475402832
