group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,8192,8192,0.9,915965,3,-2.2924739519755044,-2.3030905723571777,-0.010616620381673325
non_address_core,literal,1234,8192,8192,0.9,915965,16,-2.2924739519755044,-3.396511713663737,-1.1040377616882324
strong13,literal,1234,8192,8192,0.9,915965,13,-2.2924739519755044,-3.375945568084717,-1.0834716161092124
core19,literal,1234,8192,8192,0.9,915965,19,-2.2924739519755044,-3.271527131398519,-0.9790531794230146
first_token_sink,literal,1234,8192,8192,0.9,915965,6,-2.2924739519755044,-2.7298919359842935,-0.43741798400878906
query_tail,literal,1234,8192,8192,0.9,915965,9,-2.2924739519755044,-3.2923949559529624,-0.999921003977458
answer_address_inactive_control,literal,1234,8192,8192,0.9,915965,3,-2.2924739519755044,-2.2820040384928384,0.010469913482666016
query_tail_inactive_control,literal,1234,8192,8192,0.9,915965,9,-2.2924739519755044,-2.1777663230895996,0.1147076288859048
answer_address,literal,1235,8192,8192,0.9,822782,3,-2.094643751780192,-2.261473814646403,-0.16683006286621094
non_address_core,literal,1235,8192,8192,0.9,822782,16,-2.094643751780192,-3.459089914957682,-1.3644461631774902
strong13,literal,1235,8192,8192,0.9,822782,13,-2.094643751780192,-3.4593124389648438,-1.3646686871846518
core19,literal,1235,8192,8192,0.9,822782,19,-2.094643751780192,-3.5216592947642007,-1.4270155429840088
first_token_sink,literal,1235,8192,8192,0.9,822782,6,-2.094643751780192,-2.542535146077474,-0.4478913942972822
query_tail,literal,1235,8192,8192,0.9,822782,9,-2.094643751780192,-3.146641254425049,-1.051997502644857
answer_address_inactive_control,literal,1235,8192,8192,0.9,822782,3,-2.094643751780192,-2.073836088180542,0.020807663599649917
query_tail_inactive_control,literal,1235,8192,8192,0.9,822782,9,-2.094643751780192,-1.9904693762461345,0.1041743755340574
answer_address,literal,1236,8192,8192,0.9,659279,3,-2.1047385533650718,-2.2299612363179526,-0.12522268295288086
non_address_core,literal,1236,8192,8192,0.9,659279,16,-2.1047385533650718,-3.4797979990641275,-1.3750594456990557
strong13,literal,1236,8192,8192,0.9,659279,13,-2.1047385533650718,-3.396630605061849,-1.2918920516967773
core19,literal,1236,8192,8192,0.9,659279,19,-2.1047385533650718,-3.458987236022949,-1.3542486826578775
first_token_sink,literal,1236,8192,8192,0.9,659279,6,-2.1047385533650718,-2.625626564025879,-0.5208880106608071
query_tail,literal,1236,8192,8192,0.9,659279,9,-2.1047385533650718,-3.1464405059814453,-1.0417019526163735
answer_address_inactive_control,literal,1236,8192,8192,0.9,659279,3,-2.1047385533650718,-2.146403153737386,-0.04166460037231445
query_tail_inactive_control,literal,1236,8192,8192,0.9,659279,9,-2.1047385533650718,-2.031787395477295,0.07295115788777684
answer_address,literal,1237,8192,8192,0.9,255903,3,-2.1568090120951333,-2.3132468859354653,-0.15643787384033203
non_address_core,literal,1237,8192,8192,0.9,255903,16,-2.1568090120951333,-3.4588685035705566,-1.3020594914754233
strong13,literal,1237,8192,8192,0.9,255903,13,-2.1568090120951333,-3.4382642110188804,-1.281455198923747
core19,literal,1237,8192,8192,0.9,255903,19,-2.1568090120951333,-3.4797542889912925,-1.3229452768961592
first_token_sink,literal,1237,8192,8192,0.9,255903,6,-2.1568090120951333,-2.594325065612793,-0.43751605351765965
query_tail,literal,1237,8192,8192,0.9,255903,9,-2.1568090120951333,-3.0838634967803955,-0.9270544846852622
answer_address_inactive_control,literal,1237,8192,8192,0.9,255903,3,-2.1568090120951333,-2.1255338986714682,0.03127511342366507
query_tail_inactive_control,literal,1237,8192,8192,0.9,255903,9,-2.1568090120951333,-2.1151205698649087,0.04168844223022461
answer_address,literal,1238,8192,8192,0.9,127404,3,-2.125584443410238,-2.0945626894632974,0.0310217539469404
non_address_core,literal,1238,8192,8192,0.9,127404,16,-2.125584443410238,-3.2297107378641763,-1.1041262944539385
strong13,literal,1238,8192,8192,0.9,127404,13,-2.125584443410238,-3.1881909370422363,-1.0626064936319985
core19,literal,1238,8192,8192,0.9,127404,19,-2.125584443410238,-3.2089196840922036,-1.0833352406819658
first_token_sink,literal,1238,8192,8192,0.9,127404,6,-2.125584443410238,-2.490154425303141,-0.36456998189290335
query_tail,literal,1238,8192,8192,0.9,127404,9,-2.125584443410238,-2.833878993988037,-0.7082945505777993
answer_address_inactive_control,literal,1238,8192,8192,0.9,127404,3,-2.125584443410238,-2.146378835042318,-0.020794391632080078
query_tail_inactive_control,literal,1238,8192,8192,0.9,127404,9,-2.125584443410238,-2.063040574391683,0.06254386901855469
answer_address,literal,1239,8192,8191,0.9,178315,3,-2.136014938354492,-2.136267344156901,-0.00025240580240870614
non_address_core,literal,1239,8192,8191,0.9,178315,16,-2.136014938354492,-3.3546619415283203,-1.2186470031738281
strong13,literal,1239,8192,8191,0.9,178315,13,-2.136014938354492,-3.2507451375325522,-1.11473019917806
core19,literal,1239,8192,8191,0.9,178315,19,-2.136014938354492,-3.3339807192484536,-1.1979657808939614
first_token_sink,literal,1239,8192,8191,0.9,178315,6,-2.136014938354492,-2.521371523539225,-0.3853565851847329
query_tail,literal,1239,8192,8191,0.9,178315,9,-2.136014938354492,-2.9172301292419434,-0.7812151908874512
answer_address_inactive_control,literal,1239,8192,8191,0.9,178315,3,-2.136014938354492,-2.156832695007324,-0.02081775665283203
query_tail_inactive_control,literal,1239,8192,8191,0.9,178315,9,-2.136014938354492,-2.1151885986328125,0.020826339721679688
answer_address,literal,1240,8192,8192,0.9,779361,3,-1.9382216135660808,-2.073801358540853,-0.1355797449747722
non_address_core,literal,1240,8192,8192,0.9,779361,16,-1.9382216135660808,-3.2922792434692383,-1.3540576299031575
strong13,literal,1240,8192,8192,0.9,779361,13,-1.9382216135660808,-3.209218660990397,-1.2709970474243162
core19,literal,1240,8192,8192,0.9,779361,19,-1.9382216135660808,-3.1881672541300454,-1.2499456405639646
first_token_sink,literal,1240,8192,8192,0.9,779361,6,-1.9382216135660808,-2.3652846018473306,-0.4270629882812498
query_tail,literal,1240,8192,8192,0.9,779361,9,-1.9382216135660808,-2.9172385533650718,-0.979016939798991
answer_address_inactive_control,literal,1240,8192,8192,0.9,779361,3,-1.9382216135660808,-1.9173835118611653,0.020838101704915513
query_tail_inactive_control,literal,1240,8192,8192,0.9,779361,9,-1.9382216135660808,-1.8861026763916016,0.05211893717447924
answer_address,literal,1241,8192,8192,0.9,731022,3,-2.011382579803467,-2.1157355308532715,-0.10435295104980469
non_address_core,literal,1241,8192,8192,0.9,731022,16,-2.011382579803467,-3.3549436728159585,-1.3435610930124917
strong13,literal,1241,8192,8192,0.9,731022,13,-2.011382579803467,-3.2721211115519204,-1.2607385317484536
core19,literal,1241,8192,8192,0.9,731022,19,-2.011382579803467,-3.2300354639689126,-1.2186528841654458
first_token_sink,literal,1241,8192,8192,0.9,731022,6,-2.011382579803467,-2.5218470891316733,-0.5104645093282065
query_tail,literal,1241,8192,8192,0.9,731022,9,-2.011382579803467,-3.02156670888265,-1.010184129079183
answer_address_inactive_control,literal,1241,8192,8192,0.9,731022,3,-2.011382579803467,-2.011390209197998,-7.62939453125e-06
query_tail_inactive_control,literal,1241,8192,8192,0.9,731022,9,-2.011382579803467,-1.9487481117248535,0.06263446807861328
answer_address,alias,101234,8192,8192,0.9,476403,3,-1.8879706064860027,-1.982699712117513,-0.09472910563151027
non_address_core,alias,101234,8192,8192,0.9,476403,16,-1.8879706064860027,-2.940468152364095,-1.0524975458780925
strong13,alias,101234,8192,8192,0.9,476403,13,-1.8879706064860027,-3.3369506200154624,-1.4489800135294597
