unit_type,group,layer,head,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_l2,corrupt_l2,diff_l2,relative_diff_l2,cosine_similarity,mean_abs_diff,max_abs_diff,n_elements
group,answer_address,,,literal,1234,16384,16384,0.1,915965,256554,3,11.26923942565918,9.873516082763672,7.742232322692871,0.7323768483827494,0.7393921613693237,0.25137677788734436,2.2236328125,384
group,non_address_core,,,literal,1234,16384,16384,0.1,915965,256554,16,29.948074340820312,29.653398513793945,1.6024540662765503,0.05377229754658624,0.9986035823822021,0.023567836731672287,0.251953125,2048
group,strong13,,,literal,1234,16384,16384,0.1,915965,256554,13,28.74008560180664,27.87921905517578,7.338718414306641,0.25923025578526293,0.9668547511100769,0.06464400887489319,2.2236328125,1664
group,core19,,,literal,1234,16384,16384,0.1,915965,256554,19,31.998167037963867,31.253963470458984,7.9063262939453125,0.24999399167724418,0.9690247178077698,0.059537675231695175,2.2236328125,2432
group,first_token_sink,,,literal,1234,16384,16384,0.1,915965,256554,6,12.607521057128906,12.58276653289795,0.6752464175224304,0.05361164814884994,0.9985648989677429,0.014957509934902191,0.130859375,768
group,query_tail,,,literal,1234,16384,16384,0.1,915965,256554,9,26.474218368530273,26.1436710357666,1.4362066984176636,0.05459005348475191,0.9985891580581665,0.030221054330468178,0.251953125,1152
group,answer_address_inactive_control,,,literal,1234,16384,16384,0.1,915965,256554,3,8.704054832458496,8.79880142211914,0.5522874593734741,0.06310826659837657,0.998067319393158,0.021599138155579567,0.107421875,384
group,query_tail_inactive_control,,,literal,1234,16384,16384,0.1,915965,256554,9,12.615934371948242,12.751837730407715,2.0620009899139404,0.16256855206629975,0.986842930316925,0.033112164586782455,0.4306640625,1152
head,,22,7,literal,1234,16384,16384,0.1,915965,256554,1,8.082724571228027,6.142885684967041,6.982467174530029,0.9816755905412572,0.5469211339950562,0.4488353729248047,2.2236328125,128
head,,21,11,literal,1234,16384,16384,0.1,915965,256554,1,6.912353515625,6.542803764343262,1.743125081062317,0.2591014054748275,0.9679176807403564,0.11188662052154541,0.751708984375,128
head,,22,10,literal,1234,16384,16384,0.1,915965,256554,1,3.7262167930603027,4.116185665130615,2.8546156883239746,0.7279952039040026,0.7393121719360352,0.19340839982032776,0.890625,128
head,,20,7,literal,1234,16384,16384,0.1,915965,256554,1,13.05050277709961,12.969734191894531,0.3590816855430603,0.027600185653262423,0.9996383786201477,0.025162935256958008,0.0859375,128
head,,18,3,literal,1234,16384,16384,0.1,915965,256554,1,4.5146684646606445,4.472015857696533,0.2505333721637726,0.0557565756572739,0.9984906911849976,0.01841358095407486,0.0625,128
head,,17,10,literal,1234,16384,16384,0.1,915965,256554,1,3.1154911518096924,3.108149528503418,0.08096745610237122,0.026019322213922464,0.999664306640625,0.005640476942062378,0.02008056640625,128
head,,20,8,literal,1234,16384,16384,0.1,915965,256554,1,10.296069145202637,10.067427635192871,0.4937087297439575,0.04848958261621004,0.9990764856338501,0.03480924665927887,0.111328125,128
head,,22,0,literal,1234,16384,16384,0.1,915965,256554,1,7.744271278381348,7.566773891448975,0.8169999718666077,0.10672033983368644,0.9945735335350037,0.05598142743110657,0.251953125,128
