unit_type,group,layer,head,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_l2,corrupt_l2,diff_l2,relative_diff_l2,cosine_similarity,mean_abs_diff,max_abs_diff,n_elements
group,answer_address,,,literal,1234,16384,16384,0.9,915965,256554,3,13.990700721740723,13.043329238891602,8.684954643249512,0.642520161137409,0.795789361000061,0.27764806151390076,2.20703125,384
group,non_address_core,,,literal,1234,16384,16384,0.9,915965,256554,16,28.50098991394043,28.406646728515625,2.3457446098327637,0.08244041567112687,0.9966077208518982,0.027091536670923233,0.689208984375,2048
group,strong13,,,literal,1234,16384,16384,0.9,915965,256554,13,28.590471267700195,28.04547691345215,8.896584510803223,0.314167407680618,0.9508302211761475,0.08348696678876877,2.20703125,1664
group,core19,,,literal,1234,16384,16384,0.9,915965,256554,19,31.749738693237305,31.258054733276367,8.996162414550781,0.28555713270749766,0.9593483209609985,0.06665308773517609,2.20703125,2432
group,first_token_sink,,,literal,1234,16384,16384,0.9,915965,256554,6,12.58121109008789,12.596211433410645,0.6389510631561279,0.05075587563101692,0.9987128376960754,0.01373638492077589,0.1298828125,768
group,query_tail,,,literal,1234,16384,16384,0.9,915965,256554,9,24.91422462463379,24.794307708740234,2.2426421642303467,0.09023167890735127,0.9959409832954407,0.03694472834467888,0.689208984375,1152
group,answer_address_inactive_control,,,literal,1234,16384,16384,0.9,915965,256554,3,8.72436237335205,8.900702476501465,0.6527676582336426,0.07407265321228794,0.9974565505981445,0.024756183847784996,0.140625,384
group,query_tail_inactive_control,,,literal,1234,16384,16384,0.9,915965,256554,9,13.001233100891113,13.333971977233887,2.1769566535949707,0.165326728775181,0.9866509437561035,0.031821608543395996,0.46875,1152
head,,22,7,literal,1234,16384,16384,0.9,915965,256554,1,7.395012378692627,7.512694835662842,7.085906982421875,0.9506367250892153,0.5482414960861206,0.4503912925720215,2.20703125,128
head,,21,11,literal,1234,16384,16384,0.9,915965,256554,1,11.112532615661621,9.856572151184082,4.895199298858643,0.466896355689772,0.8978123068809509,0.30466437339782715,1.98828125,128
head,,22,10,literal,1234,16384,16384,0.9,915965,256554,1,4.191073894500732,4.066431999206543,1.120444416999817,0.27137598965655335,0.9636248350143433,0.07788848876953125,0.29638671875,128
head,,20,7,literal,1234,16384,16384,0.9,915965,256554,1,12.534677505493164,12.195991516113281,0.5687169432640076,0.04599284740474563,0.9993172883987427,0.04002642631530762,0.1328125,128
head,,18,3,literal,1234,16384,16384,0.9,915965,256554,1,3.578723192214966,3.5148091316223145,0.1750832200050354,0.049364184728300016,0.9989439249038696,0.01256774365901947,0.0416259765625,128
head,,17,10,literal,1234,16384,16384,0.9,915965,256554,1,3.2685654163360596,3.2832107543945312,0.09726244956254959,0.029690406701333882,0.9995692372322083,0.006763666868209839,0.02734375,128
head,,20,8,literal,1234,16384,16384,0.9,915965,256554,1,9.798273086547852,9.685230255126953,0.3939138352870941,0.04043562683560309,0.9992499351501465,0.027186930179595947,0.1015625,128
head,,22,0,literal,1234,16384,16384,0.9,915965,256554,1,6.572654724121094,6.497321605682373,1.688444972038269,0.25837001222230344,0.966687798500061,0.10654020309448242,0.689208984375,128
head,,22,4,literal,1234,16384,16384,0.9,915965,256554,1,8.156085014343262,8.270483016967773,1.1781489849090576,0.14344432539570803,0.9898083209991455,0.07790911197662354,0.4501953125,128
head,,21,0,literal,1234,16384,16384,0.9,915965,256554,1,4.45956563949585,4.454361915588379,0.04649585485458374,0.010432181452509999,0.9999462366104126,0.003209814429283142,0.0107421875,128
head,,20,6,literal,1234,16384,16384,0.9,915965,256554,1,6.098258018493652,6.171815872192383,0.1312265694141388,0.021389695055341145,0.9998431205749512,0.009183406829833984,0.03125,128
head,,20,9,literal,1234,16384,16384,0.9,915965,256554,1,12.197381019592285,12.343757629394531,0.40932154655456543,0.03335799144523103,0.9995146989822388,0.029693469405174255,0.109375,128
head,,21,3,literal,1234,16384,16384,0.9,915965,256554,1,4.953958034515381,4.916165351867676,0.1493464857339859,0.03026233409402483,0.9995714426040649,0.010381579399108887,0.0390625,128
head,,21,1,literal,1234,16384,16384,0.9,915965,256554,1,4.744443416595459,4.710762977600098,0.09667551517486572,0.020449160207483937,0.999816358089447,0.006812572479248047,0.03125,128
head,,21,4,literal,1234,16384,16384,0.9,915965,256554,1,5.7707061767578125,5.789266586303711,0.2545899450778961,0.044046807080965984,0.999035120010376,0.018543720245361328,0.06640625,128
head,,21,5,literal,1234,16384,16384,0.9,915965,256554,1,4.562010765075684,4.519421577453613,0.1756896674633026,0.03869206108391724,0.9992954730987549,0.012477666139602661,0.046875,128
head,,17,3,literal,1234,16384,16384,0.9,915965,256554,1,6.089774131774902,5.986955642700195,0.2486266940832138,0.04117450646427503,0.9992972612380981,0.01686173677444458,0.0653076171875,128
head,,23,4,literal,1234,16384,16384,0.9,915965,256554,1,7.736424922943115,7.826786518096924,0.5780304670333862,0.0742816441482155,0.9973084926605225,0.04277300834655762,0.1298828125,128
head,,20,3,literal,1234,16384,16384,0.9,915965,256554,1,4.692063808441162,4.789435386657715,0.18633797764778137,0.039305593728068265,0.9994384050369263,0.012533508241176605,0.0625,128
head,,21,2,literal,1234,16384,16384,0.9,915965,256554,1,6.2437825202941895,6.248130798339844,0.2883197069168091,0.046161016261092064,0.9989348649978638,0.019884109497070312,0.0849609375,128
head,,22,8,literal,1234,16384,16384,0.9,915965,256554,1,1.2039932012557983,1.427870750427246,0.26859885454177856,0.20411302367663262,0.9935944080352783,0.0176868736743927,0.11000442504882812,128
head,,22,3,literal,1234,16384,16384,0.9,915965,256554,1,5.973280429840088,6.1761274337768555,0.5204152464866638,0.08566923628354237,0.9968870282173157,0.036697566509246826,0.140625,128
head,,17,8,literal,1234,16384,16384,0.9,915965,256554,1,5.044498920440674,5.0210347175598145,0.12628695368766785,0.02509294752359591,0.9996959567070007,0.008613944053649902,0.0341796875,128
head,,18,1,literal,1234,16384,16384,0.9,915965,256554,1,2.4926445484161377,2.4911882877349854,0.15426965057849884,0.061908035702753245,0.9980838894844055,0.010863721370697021,0.0347900390625,128
head,,20,5,literal,1234,16384,16384,0.9,915965,256554,1,4.903536319732666,5.458008766174316,2.026665687561035,0.3911898603457428,0.929009199142456,0.1451438069343567,0.46875,128
head,,20,0,literal,1234,16384,16384,0.9,915965,256554,1,4.66860294342041,4.739883899688721,0.3446164131164551,0.07325650104274856,0.9974313378334045,0.024341702461242676,0.0751953125,128
head,,20,2,literal,1234,16384,16384,0.9,915965,256554,1,3.4182546138763428,3.3570847511291504,0.2438991665840149,0.07199614763025738,0.9975711107254028,0.017125993967056274,0.0625,128
head,,20,1,literal,1234,16384,16384,0.9,915965,256554,1,5.385312080383301,5.446472644805908,0.16473065316677094,0.030416160835193006,0.9996011257171631,0.011102378368377686,0.0419921875,128
head,,20,10,literal,1234,16384,16384,0.9,915965,256554,1,3.7034599781036377,3.6061387062072754,0.2089458703994751,0.05717027142624116,0.998720109462738,0.01481848955154419,0.056640625,128
group,answer_address,,,literal,1235,16384,16383,0.9,822782,347875,3,13.798649787902832,14.469049453735352,9.543532371520996,0.675225266120238,0.7730327248573303,0.29863134026527405,3.89453125,384
