group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,16384,16384,0.1,915965,3,-2.1473780473073325,-2.28348175684611,-0.13610370953877737
non_address_core,literal,1234,16384,16384,0.1,915965,16,-2.1473780473073325,-3.4178174336751304,-1.2704393863677979
strong13,literal,1234,16384,16384,0.1,915965,13,-2.1473780473073325,-3.501476526260376,-1.3540984789530435
core19,literal,1234,16384,16384,0.1,915965,19,-2.1473780473073325,-3.5221357345581055,-1.374757687250773
first_token_sink,literal,1234,16384,16384,0.1,915965,6,-2.1473780473073325,-2.5534138679504395,-0.40603582064310695
query_tail,literal,1234,16384,16384,0.1,915965,9,-2.1473780473073325,-3.2306620279947915,-1.083283980687459
answer_address_inactive_control,literal,1234,16384,16384,0.1,915965,3,-2.1473780473073325,-2.074439207712809,0.07293883959452341
query_tail_inactive_control,literal,1234,16384,16384,0.1,915965,9,-2.1473780473073325,-2.105499267578125,0.041878779729207505
answer_address,literal,1235,16384,16384,0.1,822782,3,-1.9596920013427734,-2.26207701365153,-0.30238501230875636
non_address_core,literal,1235,16384,16384,0.1,822782,16,-1.9596920013427734,-3.542666753133138,-1.5829747517903647
strong13,literal,1235,16384,16384,0.1,822782,13,-1.9596920013427734,-3.626193046569824,-1.6665010452270508
core19,literal,1235,16384,16384,0.1,822782,19,-1.9596920013427734,-3.81361985206604,-1.8539278507232666
first_token_sink,literal,1235,16384,16384,0.1,822782,6,-1.9596920013427734,-2.3761722246805825,-0.4164802233378091
query_tail,literal,1235,16384,16384,0.1,822782,9,-1.9596920013427734,-3.209572950998942,-1.2498809496561685
answer_address_inactive_control,literal,1235,16384,16384,0.1,822782,3,-1.9596920013427734,-1.9179449081420898,0.041747093200683594
query_tail_inactive_control,literal,1235,16384,16384,0.1,822782,9,-1.9596920013427734,-1.9389902750651042,0.020701726277669197
answer_address,literal,1236,16384,16384,0.1,659279,3,-2.053028106689453,-2.2516047159830728,-0.19857660929361964
non_address_core,literal,1236,16384,16384,0.1,659279,16,-2.053028106689453,-3.626096725463867,-1.573068618774414
strong13,literal,1236,16384,16384,0.1,659279,13,-2.053028106689453,-3.563832918802897,-1.5108048121134439
core19,literal,1236,16384,16384,0.1,659279,19,-2.053028106689453,-3.7096702257792153,-1.6566421190897622
first_token_sink,literal,1236,16384,16384,0.1,659279,6,-2.053028106689453,-2.469834645589193,-0.41680653889973973
query_tail,literal,1236,16384,16384,0.1,659279,9,-2.053028106689453,-3.2719475428263345,-1.2189194361368814
answer_address_inactive_control,literal,1236,16384,16384,0.1,659279,3,-2.053028106689453,-2.0322157541910806,0.020812352498372544
query_tail_inactive_control,literal,1236,16384,16384,0.1,659279,9,-2.053028106689453,-2.0947949091593423,-0.041766802469889175
answer_address,literal,1237,16384,16383,0.1,255903,3,-2.209261894226074,-2.272055149078369,-0.06279325485229492
non_address_core,literal,1237,16384,16383,0.1,255903,16,-2.209261894226074,-3.8551200230916343,-1.64585812886556
strong13,literal,1237,16384,16383,0.1,255903,13,-2.209261894226074,-3.6677417755126953,-1.458479881286621
core19,literal,1237,16384,16383,0.1,255903,19,-2.209261894226074,-3.8344319661458335,-1.6251700719197593
first_token_sink,literal,1237,16384,16383,0.1,255903,6,-2.209261894226074,-2.688447634379069,-0.47918574015299464
query_tail,literal,1237,16384,16383,0.1,255903,9,-2.209261894226074,-3.271786689758301,-1.0625247955322266
answer_address_inactive_control,literal,1237,16384,16383,0.1,255903,3,-2.209261894226074,-2.1571434338887534,0.052118460337320816
query_tail_inactive_control,literal,1237,16384,16383,0.1,255903,9,-2.209261894226074,-2.178033192952474,0.031228701273600112
answer_address,literal,1238,16384,16384,0.1,127404,3,-2.167632738749186,-2.1367483139038086,0.030884424845377456
non_address_core,literal,1238,16384,16384,0.1,127404,16,-2.167632738749186,-3.3965512911478677,-1.2289185523986816
strong13,literal,1238,16384,16384,0.1,127404,13,-2.167632738749186,-3.3759886423746743,-1.2083559036254883
core19,literal,1238,16384,16384,0.1,127404,19,-2.167632738749186,-3.4800567626953125,-1.3124240239461265
first_token_sink,literal,1238,16384,16384,0.1,127404,6,-2.167632738749186,-2.5530012448628745,-0.38536850611368845
query_tail,literal,1238,16384,16384,0.1,127404,9,-2.167632738749186,-3.0216849644978843,-0.8540522257486982
answer_address_inactive_control,literal,1238,16384,16384,0.1,127404,3,-2.167632738749186,-2.136385917663574,0.03124682108561183
query_tail_inactive_control,literal,1238,16384,16384,0.1,127404,9,-2.167632738749186,-2.1363442738850913,0.031288464864094756
answer_address,literal,1239,16384,16384,0.1,178315,3,-2.0533949534098306,-2.116520881652832,-0.06312592824300145
non_address_core,literal,1239,16384,16384,0.1,178315,16,-2.0533949534098306,-3.4802869160970054,-1.4268919626871748
strong13,literal,1239,16384,16384,0.1,178315,13,-2.0533949534098306,-3.4181159337361655,-1.364720980326335
core19,literal,1239,16384,16384,0.1,178315,19,-2.0533949534098306,-3.5429609616597495,-1.489566008249919
first_token_sink,literal,1239,16384,16384,0.1,178315,6,-2.0533949534098306,-2.3866087595621743,-0.33321380615234375
query_tail,literal,1239,16384,16384,0.1,178315,9,-2.0533949534098306,-3.022327105204264,-0.9689321517944336
answer_address_inactive_control,literal,1239,16384,16384,0.1,178315,3,-2.0533949534098306,-2.032639821370443,0.020755132039387725
query_tail_inactive_control,literal,1239,16384,16384,0.1,178315,9,-2.0533949534098306,-2.053582191467285,-0.0001872380574545751
answer_address,literal,1240,16384,16384,0.1,779361,3,-1.9389578501383464,-2.157994588216146,-0.21903673807779955
non_address_core,literal,1240,16384,16384,0.1,779361,16,-1.9389578501383464,-3.4594621658325195,-1.520504315694173
strong13,literal,1240,16384,16384,0.1,779361,13,-1.9389578501383464,-3.4599504470825195,-1.520992596944173
core19,literal,1240,16384,16384,0.1,779361,19,-1.9389578501383464,-3.542821725209554,-1.6038638750712078
first_token_sink,literal,1240,16384,16384,0.1,779361,6,-1.9389578501383464,-2.45967960357666,-0.5207217534383137
query_tail,literal,1240,16384,16384,0.1,779361,9,-1.9389578501383464,-3.0011723836263022,-1.0622145334879558
