group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
address_L22H7,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.62109375,0.29947916666666696,2.5341740449269614,0.11817624257741081
address_L21H11,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.868489583333333,0.052083333333333925,2.5341740449269614,0.020552390013462964
address_L22H10,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.86328125,0.05729166666666696,2.5341740449269614,0.02260762901480912
support_L20H7,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.893229166666667,0.02734375,2.5341740449269614,0.010790004757067933
support_L18H3,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.923177083333333,-0.0026041666666660745,2.5341740449269614,-0.0010276195006729029
support_L17H10,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.860677083333333,0.059895833333333925,2.5341740449269614,0.023635248515482373
support_L20H8,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.8984375,0.022135416666666963,2.5341740449269614,0.008734765755721777
support_L22H0,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.850260416666667,0.0703125,2.5341740449269614,0.027745726518174686
support_L22H4,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.903645833333333,0.016927083333333925,2.5341740449269614,0.006679526754375621
activation_control_L20H5,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.895833333333333,0.024739583333333925,2.5341740449269614,0.00976238525639503
inactive_control_L21H2,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.907552083333333,0.013020833333333925,2.5341740449269614,0.005138097503365916
inactive_control_L22H8,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.9140625,0.006510416666666963,2.5341740449269614,0.002569048751682958
inactive_control_L22H3,literal,1234,16384,16384,0.9,915965,256554,1,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.9296875,-0.009114583333333037,2.5341740449269614,-0.003596668252355861
address_L22H7,literal,1235,16384,16383,0.9,822782,347875,1,-2.2926098505655923,-5.330729166666667,-2.4277318318684897,-4.924479166666667,0.40625,3.0381193161010747,0.13371759227723648
address_L21H11,literal,1235,16384,16383,0.9,822782,347875,1,-2.2926098505655923,-5.330729166666667,-2.4277318318684897,-5.25,0.08072916666666696,3.0381193161010747,0.02657208564483555
address_L22H10,literal,1235,16384,16383,0.9,822782,347875,1,-2.2926098505655923,-5.330729166666667,-2.4277318318684897,-5.307291666666667,0.0234375,3.0381193161010747,0.007714476477532873
