group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
answer_address,literal,1234,16384,16384,0.9,915965,256554,3,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.557291666666667,0.36328125,2.5341740449269614,0.14335292034390254
non_address_core,literal,1234,16384,16384,0.9,915965,256554,16,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.875,0.04557291666666696,2.5341740449269614,0.017983341261780004
strong13,literal,1234,16384,16384,0.9,915965,256554,13,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.548177083333333,0.3723958333333339,2.5341740449269614,0.14694958859625876
core19,literal,1234,16384,16384,0.9,915965,256554,19,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.51953125,0.40104166666666696,2.5341740449269614,0.15825340310366315
first_token_sink,literal,1234,16384,16384,0.9,915965,256554,6,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.85546875,0.06510416666666696,2.5341740449269614,0.02569048751682853
query_tail,literal,1234,16384,16384,0.9,915965,256554,9,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.895833333333333,0.024739583333333925,2.5341740449269614,0.00976238525639503
answer_address_inactive_control,literal,1234,16384,16384,0.9,915965,256554,3,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.907552083333333,0.013020833333333925,2.5341740449269614,0.005138097503365916
query_tail_inactive_control,literal,1234,16384,16384,0.9,915965,256554,9,-2.3863988717397056,-4.920572916666667,-2.4184611638387046,-4.921875,-0.0013020833333330373,2.5341740449269614,-0.0005138097503364514
answer_address,literal,1235,16384,16383,0.9,822782,347875,3,-2.2926098505655923,-5.330729166666667,-2.4277318318684897,-4.90625,0.42447916666666696,3.0381193161010747,0.13971774064865103
non_address_core,literal,1235,16384,16383,0.9,822782,347875,16,-2.2926098505655923,-5.330729166666667,-2.4277318318684897,-5.263020833333333,0.06770833333333393,3.0381193161010747,0.022286265379539608
