group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
answer_address,literal,1234,8192,8192,0.9,915965,256554,3,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.450520833333333,0.36979166666666696,2.5278385480244956,0.1462876918922132
non_address_core,literal,1234,8192,8192,0.9,915965,256554,16,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.786458333333333,0.03385416666666696,2.5278385480244956,0.013392535173230892
strong13,literal,1234,8192,8192,0.9,915965,256554,13,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.526041666666667,0.29427083333333304,2.5278385480244956,0.11641203650577507
core19,literal,1234,8192,8192,0.9,915965,256554,19,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.4453125,0.375,2.5278385480244956,0.14834808191886395
first_token_sink,literal,1234,8192,8192,0.9,915965,256554,6,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.778645833333333,0.04166666666666696,2.5278385480244956,0.016483120213207223
query_tail,literal,1234,8192,8192,0.9,915965,256554,9,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.817708333333333,0.0026041666666669627,2.5278385480244956,0.0010301950133255614
answer_address_inactive_control,literal,1234,8192,8192,0.9,915965,256554,3,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.796875,0.0234375,2.5278385480244956,0.009271755119928997
query_tail_inactive_control,literal,1234,8192,8192,0.9,915965,256554,9,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.786458333333333,0.03385416666666696,2.5278385480244956,0.013392535173230892
answer_address,literal,1235,8192,8192,0.9,822782,347875,3,-2.094643751780192,-5.0625,-2.2194979985555015,-4.5859375,0.4765625,2.967856248219808,0.160574657308909
non_address_core,literal,1235,8192,8192,0.9,822782,347875,16,-2.094643751780192,-5.0625,-2.2194979985555015,-5.024739583333333,0.03776041666666696,2.967856248219808,0.012723128584585785
strong13,literal,1235,8192,8192,0.9,822782,347875,13,-2.094643751780192,-5.0625,-2.2194979985555015,-4.576822916666667,0.48567708333333304,2.967856248219808,0.16364575731208475
core19,literal,1235,8192,8192,0.9,822782,347875,19,-2.094643751780192,-5.0625,-2.2194979985555015,-4.571614583333333,0.49088541666666696,2.967856248219808,0.165400671599614
first_token_sink,literal,1235,8192,8192,0.9,822782,347875,6,-2.094643751780192,-5.0625,-2.2194979985555015,-5.061197916666667,0.0013020833333330373,2.967856248219808,0.0004387285718821652
query_tail,literal,1235,8192,8192,0.9,822782,347875,9,-2.094643751780192,-5.0625,-2.2194979985555015,-5.059895833333333,0.0026041666666669627,2.967856248219808,0.0008774571437646298
answer_address_inactive_control,literal,1235,8192,8192,0.9,822782,347875,3,-2.094643751780192,-5.0625,-2.2194979985555015,-5.065104166666667,-0.0026041666666669627,2.967856248219808,-0.0008774571437646298
query_tail_inactive_control,literal,1235,8192,8192,0.9,822782,347875,9,-2.094643751780192,-5.0625,-2.2194979985555015,-5.052083333333333,0.010416666666666963,2.967856248219808,0.00350982857505822
answer_address,literal,1236,8192,8192,0.9,659279,262639,3,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-4.9921875,0.27083333333333304,3.1582822799682613,0.08575336506528312
non_address_core,literal,1236,8192,8192,0.9,659279,262639,16,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-5.200520833333333,0.0625,3.1582822799682613,0.019789238091988435
strong13,literal,1236,8192,8192,0.9,659279,262639,13,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-4.916666666666667,0.3463541666666661,3.1582822799682613,0.10966536109310239
core19,literal,1236,8192,8192,0.9,659279,262639,19,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-4.924479166666667,0.3385416666666661,3.1582822799682613,0.10719170633160384
first_token_sink,literal,1236,8192,8192,0.9,659279,262639,6,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-5.294270833333333,-0.03125,3.1582822799682613,-0.009894619045994217
query_tail,literal,1236,8192,8192,0.9,659279,262639,9,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-5.2421875,0.020833333333333037,3.1582822799682613,0.006596412697329385
answer_address_inactive_control,literal,1236,8192,8192,0.9,659279,262639,3,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-5.286458333333333,-0.0234375,3.1582822799682613,-0.0074209642844956635
query_tail_inactive_control,literal,1236,8192,8192,0.9,659279,262639,9,-2.1047385533650718,-5.263020833333333,-2.2089999516805015,-5.255208333333333,0.0078125,3.1582822799682613,0.0024736547614985544
