group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,16384,16384,0.9,915965,3,-2.3863988717397056,-2.397322336832682,-0.010923465092976592
non_address_core,literal,1234,16384,16384,0.9,915965,16,-2.3863988717397056,-3.5426113605499268,-1.1562124888102212
strong13,literal,1234,16384,16384,0.9,915965,13,-2.3863988717397056,-3.521975040435791,-1.1355761686960855
core19,literal,1234,16384,16384,0.9,915965,19,-2.3863988717397056,-3.501060406366984,-1.1146615346272783
first_token_sink,literal,1234,16384,16384,0.9,915965,6,-2.3863988717397056,-2.9176761309305825,-0.531277259190877
query_tail,literal,1234,16384,16384,0.9,915965,9,-2.3863988717397056,-3.272076368331909,-0.8856774965922036
answer_address_inactive_control,literal,1234,16384,16384,0.9,915965,3,-2.3863988717397056,-2.3551546732584634,0.031244198481242158
query_tail_inactive_control,literal,1234,16384,16384,0.9,915965,9,-2.3863988717397056,-2.386411984761556,-1.3113021850585938e-05
answer_address,literal,1235,16384,16383,0.9,822782,3,-2.2926098505655923,-2.4177423318227134,-0.12513248125712106
non_address_core,literal,1235,16384,16383,0.9,822782,16,-2.2926098505655923,-3.6049228509267173,-1.312313000361125
strong13,literal,1235,16384,16383,0.9,822782,13,-2.2926098505655923,-3.646782954533895,-1.3541731039683027
core19,literal,1235,16384,16383,0.9,822782,19,-2.2926098505655923,-3.7299767335255942,-1.437366882960002
first_token_sink,literal,1235,16384,16383,0.9,822782,6,-2.2926098505655923,-2.91754412651062,-0.6249342759450278
query_tail,literal,1235,16384,16383,0.9,822782,9,-2.2926098505655923,-3.2091659704844155,-0.9165561199188232
answer_address_inactive_control,literal,1235,16384,16383,0.9,822782,3,-2.2926098505655923,-2.2926228046417236,-1.2954076131332926e-05
query_tail_inactive_control,literal,1235,16384,16383,0.9,822782,9,-2.2926098505655923,-2.271751324335734,0.0208585262298584
answer_address,literal,1236,16384,16384,0.9,659279,3,-2.2503925959269204,-2.3859947522481284,-0.13560215632120798
non_address_core,literal,1236,16384,16384,0.9,659279,16,-2.2503925959269204,-3.7296266555786133,-1.4792340596516929
strong13,literal,1236,16384,16384,0.9,659279,13,-2.2503925959269204,-3.6047352155049643,-1.354342619578044
core19,literal,1236,16384,16384,0.9,659279,19,-2.2503925959269204,-3.729641596476237,-1.4792490005493164
first_token_sink,literal,1236,16384,16384,0.9,659279,6,-2.2503925959269204,-2.896317958831787,-0.6459253629048667
query_tail,literal,1236,16384,16384,0.9,659279,9,-2.2503925959269204,-3.167133013407389,-0.9167404174804688
answer_address_inactive_control,literal,1236,16384,16384,0.9,659279,3,-2.2503925959269204,-2.2608367602030435,-0.010444164276123047
query_tail_inactive_control,literal,1236,16384,16384,0.9,659279,9,-2.2503925959269204,-2.2295473416646323,0.020845254262288115
answer_address,literal,1237,16384,16384,0.9,255903,3,-2.271245797475179,-2.4276680946350098,-0.15642229715983058
non_address_core,literal,1237,16384,16384,0.9,255903,16,-2.271245797475179,-3.812936782836914,-1.5416909853617349
strong13,literal,1237,16384,16384,0.9,255903,13,-2.271245797475179,-3.6255698204040527,-1.3543240229288735
core19,literal,1237,16384,16384,0.9,255903,19,-2.271245797475179,-3.8129579226175943,-1.541712125142415
first_token_sink,literal,1237,16384,16384,0.9,255903,6,-2.271245797475179,-2.9379374186197915,-0.6666916211446123
query_tail,literal,1237,16384,16384,0.9,255903,9,-2.271245797475179,-3.1879239082336426,-0.9166781107584634
answer_address_inactive_control,literal,1237,16384,16384,0.9,255903,3,-2.271245797475179,-2.208730379740397,0.0625154177347822
query_tail_inactive_control,literal,1237,16384,16384,0.9,255903,9,-2.271245797475179,-2.302471319834391,-0.031225522359211944
answer_address,literal,1238,16384,16384,0.9,127404,3,-2.3235670725504556,-2.271698315938314,0.05186875661214163
non_address_core,literal,1238,16384,16384,0.9,127404,16,-2.3235670725504556,-3.3755898475646973,-1.0520227750142417
strong13,literal,1238,16384,16384,0.9,127404,13,-2.3235670725504556,-3.2507413228352866,-0.927174250284831
core19,literal,1238,16384,16384,0.9,127404,19,-2.3235670725504556,-3.354863007863363,-1.0312959353129072
first_token_sink,literal,1238,16384,16384,0.9,127404,6,-2.3235670725504556,-2.7298596700032554,-0.4062925974527998
query_tail,literal,1238,16384,16384,0.9,127404,9,-2.3235670725504556,-2.979746659596761,-0.6561795870463056
answer_address_inactive_control,literal,1238,16384,16384,0.9,127404,3,-2.3235670725504556,-2.3548501332600913,-0.03128306070963571
query_tail_inactive_control,literal,1238,16384,16384,0.9,127404,9,-2.3235670725504556,-2.323487917582194,7.915496826171875e-05
answer_address,literal,1239,16384,16383,0.9,178315,3,-2.188157399495443,-2.2093448638916016,-0.021187464396158706
non_address_core,literal,1239,16384,16383,0.9,178315,16,-2.188157399495443,-3.458883285522461,-1.270725886027018
strong13,literal,1239,16384,16383,0.9,178315,13,-2.188157399495443,-3.3341418902079263,-1.1459844907124834
core19,literal,1239,16384,16383,0.9,178315,19,-2.188157399495443,-3.438133398691813,-1.2499759991963701
first_token_sink,literal,1239,16384,16383,0.9,178315,6,-2.188157399495443,-2.604762395222982,-0.41660499572753906
query_tail,literal,1239,16384,16383,0.9,178315,9,-2.188157399495443,-3.0006882349650064,-0.8125308354695635
answer_address_inactive_control,literal,1239,16384,16383,0.9,178315,3,-2.188157399495443,-2.198556423187256,-0.010399023691813003
query_tail_inactive_control,literal,1239,16384,16383,0.9,178315,9,-2.188157399495443,-2.209027131398519,-0.020869731903076172
answer_address,literal,1240,16384,16384,0.9,779361,3,-2.1254399617513022,-2.261016527811686,-0.13557656606038382
non_address_core,literal,1240,16384,16384,0.9,779361,16,-2.1254399617513022,-3.521366755167643,-1.3959267934163408
strong13,literal,1240,16384,16384,0.9,779361,13,-2.1254399617513022,-3.458977699279785,-1.333537737528483
core19,literal,1240,16384,16384,0.9,779361,19,-2.1254399617513022,-3.5005507469177246,-1.3751107851664224
first_token_sink,literal,1240,16384,16384,0.9,779361,6,-2.1254399617513022,-2.792182445526123,-0.6667424837748208
query_tail,literal,1240,16384,16384,0.9,779361,9,-2.1254399617513022,-3.0213181177775064,-0.8958781560262041
answer_address_inactive_control,literal,1240,16384,16384,0.9,779361,3,-2.1254399617513022,-2.0733954111735025,0.052044550577799775
query_tail_inactive_control,literal,1240,16384,16384,0.9,779361,9,-2.1254399617513022,-2.1045872370402017,0.020852724711100556
answer_address,literal,1241,16384,16384,0.9,731022,3,-2.3547207514444985,-2.3964980443318686,-0.04177729288737009
non_address_core,literal,1241,16384,16384,0.9,731022,16,-2.3547207514444985,-3.6671305497487388,-1.3124097983042402
strong13,literal,1241,16384,16384,0.9,731022,13,-2.3547207514444985,-3.542375405629476,-1.1876546541849775
core19,literal,1241,16384,16384,0.9,731022,19,-2.3547207514444985,-3.5629642009735107,-1.2082434495290122
first_token_sink,literal,1241,16384,16384,0.9,731022,6,-2.3547207514444985,-2.9798213640848794,-0.6251006126403809
query_tail,literal,1241,16384,16384,0.9,731022,9,-2.3547207514444985,-3.2087836265563965,-0.8540628751118979
answer_address_inactive_control,literal,1241,16384,16384,0.9,731022,3,-2.3547207514444985,-2.3339345455169678,0.020786205927530776
query_tail_inactive_control,literal,1241,16384,16384,0.9,731022,9,-2.3547207514444985,-2.312995274861654,0.041725476582844756
answer_address,alias,101234,16384,16384,0.9,476403,3,-2.054306983947754,-2.169609705607096,-0.1153027216593423
non_address_core,alias,101234,16384,16384,0.9,476403,16,-2.054306983947754,-3.4406075477600098,-1.3863005638122559
strong13,alias,101234,16384,16384,0.9,476403,13,-2.054306983947754,-3.5868352254231772,-1.5325282414754233
core19,alias,101234,16384,16384,0.9,476403,19,-2.054306983947754,-3.419970989227295,-1.365664005279541
first_token_sink,alias,101234,16384,16384,0.9,476403,6,-2.054306983947754,-2.4706595738728843,-0.41635258992513036
query_tail,alias,101234,16384,16384,0.9,476403,9,-2.054306983947754,-3.1696249643961587,-1.1153179804484048
answer_address_inactive_control,alias,101234,16384,16384,0.9,476403,3,-2.054306983947754,-2.012427647908529,0.04187933603922511
query_tail_inactive_control,alias,101234,16384,16384,0.9,476403,9,-2.054306983947754,-2.1788059870402017,-0.12449900309244777
answer_address,alias,101235,16384,16384,0.9,419257,3,-2.083669980367025,-2.208961327870687,-0.1252913475036621
non_address_core,alias,101235,16384,16384,0.9,419257,16,-2.083669980367025,-3.5004685719807944,-1.4167985916137695
strong13,alias,101235,16384,16384,0.9,419257,13,-2.083669980367025,-3.708892345428467,-1.625222365061442
core19,alias,101235,16384,16384,0.9,419257,19,-2.083669980367025,-3.5421690940856934,-1.4584991137186685
first_token_sink,alias,101235,16384,16384,0.9,419257,6,-2.083669980367025,-2.4794832865397134,-0.3958133061726885
query_tail,alias,101235,16384,16384,0.9,419257,9,-2.083669980367025,-3.2297290166219077,-1.1460590362548828
answer_address_inactive_control,alias,101235,16384,16384,0.9,419257,3,-2.083669980367025,-2.031569798787435,0.052100181579589844
query_tail_inactive_control,alias,101235,16384,16384,0.9,419257,9,-2.083669980367025,-2.135718743006388,-0.05204876263936331
answer_address,alias,101236,16384,16383,0.9,896301,3,-1.8756910959879558,-2.157368818918864,-0.281677722930908
non_address_core,alias,101236,16384,16383,0.9,896301,16,-1.8756910959879558,-3.37601629892985,-1.5003252029418943
strong13,alias,101236,16384,16383,0.9,896301,13,-1.8756910959879558,-3.4594138463338218,-1.583722750345866
core19,alias,101236,16384,16383,0.9,896301,19,-1.8756910959879558,-3.4386397997538247,-1.562948703765869
