group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
address_L22H7,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.358072916666667,0.20963541666666607,2.4203302860260005,0.08661438394462749
address_L21H11,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.609375,-0.04166666666666696,2.4203302860260005,-0.01721528128091992
address_L22H10,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.505208333333333,0.0625,2.4203302860260005,0.025822921921379697
support_L20H7,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.567708333333333,0.0,2.4203302860260005,0.0
support_L18H3,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.569010416666667,-0.0013020833333339255,2.4203302860260005,-0.0005379775400289884
support_L17H10,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.578125,-0.010416666666666963,2.4203302860260005,-0.0043038203202300715
support_L20H8,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.571614583333333,-0.00390625,2.4203302860260005,-0.001613932620086231
support_L22H0,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.548177083333333,0.01953125,2.4203302860260005,0.008069663100431156
support_L22H4,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.580729166666667,-0.013020833333333925,2.4203302860260005,-0.005379775400287681
activation_control_L20H5,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.583333333333333,-0.015625,2.4203302860260005,-0.006455730480344924
inactive_control_L21H2,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.553385416666667,0.014322916666666075,2.4203302860260005,0.0059177529403159354
inactive_control_L22H8,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.565104166666667,0.0026041666666660745,2.4203302860260005,0.0010759550800572427
inactive_control_L22H3,literal,1234,16384,16384,0.1,915965,256554,1,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.592447916666667,-0.024739583333333925,2.4203302860260005,-0.010221573260546374
address_L22H7,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-4.809895833333333,0.2864583333333339,3.1366621653238935,0.0913258483811737
address_L21H11,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.078125,0.018229166666666963,3.1366621653238935,0.005811644896983864
address_L22H10,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.0625,0.03385416666666696,3.1366621653238935,0.010793054808684237
support_L20H7,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.1015625,-0.005208333333333037,3.1366621653238935,-0.0016604699705666968
support_L18H3,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.091145833333333,0.0052083333333339255,3.1366621653238935,0.00166046997056698
support_L17H10,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.119791666666667,-0.0234375,3.1366621653238935,-0.007472114867550561
support_L20H8,literal,1235,16384,16384,0.1,822782,347875,1,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.083333333333333,0.013020833333333925,3.1366621653238935,0.004151174926417167
