unit_type,group,layer,head,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_l2,corrupt_l2,diff_l2,relative_diff_l2,cosine_similarity,mean_abs_diff,max_abs_diff,n_elements
group,answer_address,,,literal,1234,16384,16384,0.5,915965,256554,3,12.801302909851074,11.019113540649414,8.5175199508667,0.7151445037551171,0.7541031241416931,0.26647958159446716,2.5517578125,384
group,non_address_core,,,literal,1234,16384,16384,0.5,915965,256554,16,29.278392791748047,28.987123489379883,1.8933897018432617,0.06499177636074689,0.9979383945465088,0.02371853217482567,0.4560546875,2048
group,strong13,,,literal,1234,16384,16384,0.5,915965,256554,13,28.685863494873047,27.711750030517578,8.55915355682373,0.30352892691001315,0.9545184969902039,0.0745520293712616,2.5517578125,1664
group,core19,,,literal,1234,16384,16384,0.5,915965,256554,19,31.954614639282227,31.0108699798584,8.725425720214844,0.27714948191036193,0.9620354175567627,0.062049224972724915,2.5517578125,2432
group,first_token_sink,,,literal,1234,16384,16384,0.5,915965,256554,6,12.386317253112793,12.345372200012207,0.6968593001365662,0.05635355412798245,0.9984175562858582,0.013881334103643894,0.169921875,768
group,query_tail,,,literal,1234,16384,16384,0.5,915965,256554,9,25.886018753051758,25.563678741455078,1.7459806203842163,0.067871365835363,0.9977753758430481,0.031163016334176064,0.4560546875,1152
group,answer_address_inactive_control,,,literal,1234,16384,16384,0.5,915965,256554,3,8.547045707702637,8.650383949279785,0.4579712748527527,0.05326043298183334,0.9986539483070374,0.01742013730108738,0.09375,384
group,query_tail_inactive_control,,,literal,1234,16384,16384,0.5,915965,256554,9,12.591744422912598,12.759599685668945,1.9821064472198486,0.15637091577711626,0.9878614544868469,0.029018878936767578,0.3837890625,1152
head,,22,7,literal,1234,16384,16384,0.5,915965,256554,1,8.52838134765625,6.603558540344238,7.804201602935791,1.0314872594920184,0.49216100573539734,0.5034503936767578,2.5517578125,128
head,,21,11,literal,1234,16384,16384,0.5,915965,256554,1,8.739437103271484,8.03215503692627,3.0646116733551025,0.3654526830532581,0.9366664290428162,0.19244027137756348,1.3203125,128
head,,22,10,literal,1234,16384,16384,0.5,915965,256554,1,3.842175245285034,3.6466920375823975,1.5002453327178955,0.40066014686895685,0.9210447669029236,0.10354804992675781,0.390625,128
head,,20,7,literal,1234,16384,16384,0.5,915965,256554,1,12.690892219543457,12.47436237335205,0.44888898730278015,0.035675298705661225,0.9995115399360657,0.031859397888183594,0.1015625,128
head,,18,3,literal,1234,16384,16384,0.5,915965,256554,1,3.9704573154449463,3.961829423904419,0.1964898258447647,0.049541785944284086,0.9987751245498657,0.01395726203918457,0.04833984375,128
head,,17,10,literal,1234,16384,16384,0.5,915965,256554,1,3.069347858428955,3.0440125465393066,0.07611659914255142,0.02490172150841697,0.999724268913269,0.005547761917114258,0.01708984375,128
head,,20,8,literal,1234,16384,16384,0.5,915965,256554,1,10.118061065673828,10.135918617248535,0.26875606179237366,0.02653859300737641,0.9996494054794312,0.01956653594970703,0.05859375,128
head,,22,0,literal,1234,16384,16384,0.5,915965,256554,1,7.162404537200928,6.707380294799805,1.2575544118881226,0.18133726328423783,0.9856956005096436,0.08080750703811646,0.4560546875,128
head,,22,4,literal,1234,16384,16384,0.5,915965,256554,1,8.236666679382324,8.093294143676758,0.9341734647750854,0.11441221138215656,0.9936085343360901,0.06298243999481201,0.296875,128
head,,21,0,literal,1234,16384,16384,0.5,915965,256554,1,4.528601169586182,4.515024662017822,0.036253027617931366,0.00801736566571362,0.999972403049469,0.002291440963745117,0.015625,128
head,,20,6,literal,1234,16384,16384,0.5,915965,256554,1,5.565792560577393,5.693004608154297,0.20273953676223755,0.03601442209569111,0.999606728553772,0.014278188347816467,0.06640625,128
head,,20,9,literal,1234,16384,16384,0.5,915965,256554,1,13.037980079650879,12.977864265441895,0.34009602665901184,0.02614529992936111,0.9996688365936279,0.02435302734375,0.080078125,128
