group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
address_L22H7,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.380208333333333,0.25,2.5253651936848955,0.0989955831438429
address_L21H11,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.66015625,-0.029947916666666963,2.5253651936848955,-0.011858845897439631
address_L22H10,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.572916666666667,0.057291666666666075,2.5253651936848955,0.022686487803797097
support_L20H7,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.640625,-0.010416666666666963,2.5253651936848955,-0.004124815964326904
support_L18H3,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.669270833333333,-0.0390625,2.5253651936848955,-0.015468059866225453
support_L17H10,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.6640625,-0.03385416666666696,2.5253651936848955,-0.013405651884062177
support_L20H8,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.653645833333333,-0.0234375,2.5253651936848955,-0.009280835919735272
support_L22H0,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.622395833333333,0.0078125,2.5253651936848955,0.0030936119732450904
support_L22H4,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.6328125,-0.0026041666666669627,2.5253651936848955,-0.0010312039910818141
activation_control_L20H5,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.7109375,-0.08072916666666696,2.5253651936848955,-0.03196732372353272
inactive_control_L21H2,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.6484375,-0.018229166666666963,2.5253651936848955,-0.007218427937571995
inactive_control_L22H8,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.6640625,-0.03385416666666696,2.5253651936848955,-0.013405651884062177
inactive_control_L22H3,literal,1234,16384,16384,0.5,915965,256554,1,-2.1048431396484375,-4.630208333333333,-2.3056777318318686,-4.635416666666667,-0.0052083333333339255,2.5253651936848955,-0.0020624079821636282
address_L22H7,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-4.596354166666667,0.4244791666666661,2.8428496519724527,0.14931467317385214
address_L21H11,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-4.979166666666667,0.041666666666666075,2.8428496519724527,0.014656655035469961
address_L22H10,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-4.986979166666667,0.033854166666666075,2.8428496519724527,0.011908532216319304
support_L20H7,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-5.013020833333333,0.0078125,2.8428496519724527,0.0027481228191506566
support_L18H3,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-5.049479166666667,-0.028645833333333925,2.8428496519724527,-0.01007645033688595
support_L17H10,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-5.015625,0.005208333333333037,2.8428496519724527,0.0018320818794336671
support_L20H8,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-5.020833333333333,0.0,2.8428496519724527,0.0
support_L22H0,literal,1235,16384,16384,0.5,822782,347875,1,-2.1779836813608804,-5.020833333333333,-2.3653812408447266,-5.026041666666667,-0.0052083333333339255,2.8428496519724527,-0.0018320818794339794
