group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
address_L22H7,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.528645833333333,0.29166666666666696,2.5278385480244956,0.11538184149244986
address_L21H11,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.783854166666667,0.03645833333333304,2.5278385480244956,0.0144227301865561
address_L22H10,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.796875,0.0234375,2.5278385480244956,0.009271755119928997
support_L20H7,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.794270833333333,0.026041666666666963,2.5278385480244956,0.010301950133254559
support_L18H3,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.799479166666667,0.020833333333333037,2.5278385480244956,0.008241560106603436
support_L17H10,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.8203125,0.0,2.5278385480244956,0.0
support_L20H8,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.841145833333333,-0.020833333333333037,2.5278385480244956,-0.008241560106603436
support_L22H0,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.776041666666667,0.04427083333333304,2.5278385480244956,0.017513315226532433
support_L22H4,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.830729166666667,-0.010416666666666963,2.5278385480244956,-0.004120780053301893
activation_control_L20H5,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.791666666666667,0.028645833333333037,2.5278385480244956,0.01133214514657977
inactive_control_L21H2,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.817708333333333,0.0026041666666669627,2.5278385480244956,0.0010301950133255614
inactive_control_L22H8,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.8125,0.0078125,2.5278385480244956,0.0030905850399763324
inactive_control_L22H3,literal,1234,8192,8192,0.9,915965,256554,1,-2.2924739519755044,-4.8203125,-2.3631251653035483,-4.861979166666667,-0.04166666666666696,2.5278385480244956,-0.016483120213207223
address_L22H7,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-4.622395833333333,0.44010416666666696,2.967856248219808,0.14829025729620565
address_L21H11,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-4.967447916666667,0.09505208333333304,2.967856248219808,0.03202718574740524
address_L22H10,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.02734375,0.03515625,2.967856248219808,0.011845671440821154
support_L20H7,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.0859375,-0.0234375,2.967856248219808,-0.007897114293880769
support_L18H3,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.040364583333333,0.022135416666666963,2.967856248219808,0.007458385721998605
support_L17H10,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.045572916666667,0.016927083333333037,2.967856248219808,0.005703471434469345
support_L20H8,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.067708333333333,-0.005208333333333037,2.967856248219808,-0.0017549142875289603
support_L22H0,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.065104166666667,-0.0026041666666669627,2.967856248219808,-0.0008774571437646298
support_L22H4,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.028645833333333,0.03385416666666696,2.967856248219808,0.01140694286893899
activation_control_L20H5,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.059895833333333,0.0026041666666669627,2.967856248219808,0.0008774571437646298
inactive_control_L21H2,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.072916666666667,-0.010416666666666963,2.967856248219808,-0.00350982857505822
inactive_control_L22H8,literal,1235,8192,8192,0.9,822782,347875,1,-2.094643751780192,-5.0625,-2.2194979985555015,-5.065104166666667,-0.0026041666666669627,2.967856248219808,-0.0008774571437646298
